frame_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
12,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
13,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
14,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
15,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
16,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
17,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
18,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
19,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
20,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
21,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
22,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
23,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
24,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
25,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
26,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
27,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
28,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
29,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
30,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
31,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
32,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
33,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
34,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
35,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
36,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
37,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
38,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
39,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
40,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
